packing_slip_number,center_id,city,model,diopter,serial_number,qty,order_date,ship_date,delivery_date,use_date,day_of_the_week_when_used
561868,OCNH,Heerhugowaard,PC545,19.5,11776637,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,19,11775644,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,17.5,11754100,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,20,11776828,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,22.5,11787091,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,18.5,11785536,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,22.5,11787125,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,24.5,11710433,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,18.5,11785490,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,17.5,11754094,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
